mean_test_score,params
0.815895278167368,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 881}"
0.815895278167368,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 920}"
0.815895278167368,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 960}"
0.815895278167368,"{'max_depth': 11, 'min_samples_split': 11, 'n_estimators': 1000}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 50}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 89}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 129}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 168}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 208}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 247}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 287}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 327}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 366}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 406}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 445}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 485}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 525}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 564}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 604}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 643}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 683}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 722}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 762}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 802}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 841}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 881}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 920}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 960}"
,"{'max_depth': 12, 'min_samples_split': 1, 'n_estimators': 1000}"
0.8310425432445069,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 50}"
0.8483637213651238,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 89}"
0.8462131837307154,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 129}"
0.8418653576437588,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 168}"
0.8418419822346891,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 208}"
0.8439925198690977,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 247}"
0.8375409069658719,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 287}"
0.8461898083216457,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 327}"
0.8375409069658719,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 366}"
0.8396914446002806,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 406}"
0.846166432912576,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 445}"
0.850490883590463,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 485}"
0.8418419822346891,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 525}"
0.8440158952781674,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 564}"
0.8461898083216457,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 604}"
0.8418653576437588,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 643}"
0.8418653576437588,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 683}"
0.8440158952781674,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 722}"
0.8396914446002806,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 762}"
0.8418887330528285,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 802}"
0.8418887330528285,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 841}"
0.8418887330528285,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 881}"
0.8440392706872369,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 920}"
0.83971482000935,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 960}"
0.8440626460963067,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 1000}"
0.8354371201496026,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 50}"
0.8526881720430108,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 89}"
0.8483403459560541,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 129}"
0.8418419822346891,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 168}"
0.8439925198690977,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 208}"
0.8418419822346891,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 247}"
0.8396914446002806,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 287}"
0.8396914446002806,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 327}"
0.8396914446002806,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 366}"
0.8418653576437588,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 406}"
0.8440392706872369,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 445}"
0.8461898083216456,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 485}"
0.8462131837307153,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 525}"
0.8461898083216456,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 564}"
0.8483637213651238,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 604}"
0.8461898083216456,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 643}"
0.8440392706872369,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 683}"
0.8418653576437588,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 722}"
0.8440392706872369,"{'max_depth': 12, 'min_samples_split': 3, 'n_estimators': 762}"
